3. Zeile und 55.Spalte, Wert:38171.783171624804 
3. Zeile und 56.Spalte, Wert:38164.053975394185 
3. Zeile und 57.Spalte, Wert:38164.849132812364 
3. Zeile und 58.Spalte, Wert:38174.36663658345 
3. Zeile und 59.Spalte, Wert:38168.92130788727 
3. Zeile und 60.Spalte, Wert:38184.331173963015 
3. Zeile und 61.Spalte, Wert:38178.671340613335 
3. Zeile und 62.Spalte, Wert:37955.845491766144 
3. Zeile und 63.Spalte, Wert:38183.50594033449 
3. Zeile und 64.Spalte, Wert:38171.40106069213 
3. Zeile und 65.Spalte, Wert:38187.91074648 
3. Zeile und 66.Spalte, Wert:38161.17234840845 
3. Zeile und 67.Spalte, Wert:38323.971953539716 
3. Zeile und 68.Spalte, Wert:38160.30488564908 
3. Zeile und 69.Spalte, Wert:38215.41187738143 
3. Zeile und 70.Spalte, Wert:38172.69915491662 
3. Zeile und 71.Spalte, Wert:38062.257300854544 
3. Zeile und 72.Spalte, Wert:38175.687054628135 
3. Zeile und 73.Spalte, Wert:38136.93981801156 
3. Zeile und 74.Spalte, Wert:38169.61157038545 
3. Zeile und 75.Spalte, Wert:38170.79109014568 
3. Zeile und 76.Spalte, Wert:38173.79956162839 
3. Zeile und 77.Spalte, Wert:38113.87360343155 
3. Zeile und 78.Spalte, Wert:38156.49583427978 
3. Zeile und 79.Spalte, Wert:38185.2867958333 
3. Zeile und 80.Spalte, Wert:37751.58425810256 
3. Zeile und 81.Spalte, Wert:37111.09658634318 
3. Zeile und 82.Spalte, Wert:38179.63769744999 
3. Zeile und 83.Spalte, Wert:38171.064608191344 
3. Zeile und 84.Spalte, Wert:37738.54765976817 
3. Zeile und 85.Spalte, Wert:38154.82685254984 
3. Zeile und 86.Spalte, Wert:37557.47221775237 
3. Zeile und 87.Spalte, Wert:38177.57974305818 
3. Zeile und 88.Spalte, Wert:37663.499602362564 
3. Zeile und 89.Spalte, Wert:37805.93381278122 
3. Zeile und 90.Spalte, Wert:38166.9801330574 
3. Zeile und 91.Spalte, Wert:37671.25618216664 
3. Zeile und 92.Spalte, Wert:38171.10030188563 
3. Zeile und 93.Spalte, Wert:38172.72330058357 
3. Zeile und 94.Spalte, Wert:38127.32572272593 
3. Zeile und 95.Spalte, Wert:38165.173811865185 
3. Zeile und 96.Spalte, Wert:37978.1863160894 
3. Zeile und 97.Spalte, Wert:38106.72813881305 
3. Zeile und 98.Spalte, Wert:37991.70983338217 
3. Zeile und 99.Spalte, Wert:38176.6034043336 
3. Zeile und 100.Spalte, Wert:38167.735217848145 
4. Zeile und 0.Spalte, Wert:37692.047153980995 
4. Zeile und 1.Spalte, Wert:38120.11591444129 
4. Zeile und 2.Spalte, Wert:38160.06700055512 
4. Zeile und 3.Spalte, Wert:38129.29808498037 
4. Zeile und 4.Spalte, Wert:38229.174474020765 
4. Zeile und 5.Spalte, Wert:38133.5139223129 
4. Zeile und 6.Spalte, Wert:38140.52317701256 
4. Zeile und 7.Spalte, Wert:38148.30273462773 
4. Zeile und 8.Spalte, Wert:38156.59478316826 
4. Zeile und 9.Spalte, Wert:38139.27354288341 
4. Zeile und 10.Spalte, Wert:38149.24823422453 
4. Zeile und 11.Spalte, Wert:38159.519895148725 
4. Zeile und 12.Spalte, Wert:38149.11249266543 
4. Zeile und 13.Spalte, Wert:38150.019443531724 
4. Zeile und 14.Spalte, Wert:38146.99188093018 
4. Zeile und 15.Spalte, Wert:38188.597240985284 
4. Zeile und 16.Spalte, Wert:38275.474069127245 
4. Zeile und 17.Spalte, Wert:44184.375649252936 
4. Zeile und 18.Spalte, Wert:38144.371639826255 
4. Zeile und 19.Spalte, Wert:38144.813309696154 
4. Zeile und 20.Spalte, Wert:38150.0229602702 
4. Zeile und 21.Spalte, Wert:38151.47156988738 
4. Zeile und 22.Spalte, Wert:38156.21581059508 
4. Zeile und 23.Spalte, Wert:38145.70230020936 
4. Zeile und 24.Spalte, Wert:38142.894693667884 
4. Zeile und 25.Spalte, Wert:38158.463134062564 
4. Zeile und 26.Spalte, Wert:38148.20177651928 
4. Zeile und 27.Spalte, Wert:38141.556694248844 
4. Zeile und 28.Spalte, Wert:38145.43077800464 
4. Zeile und 29.Spalte, Wert:38160.12745063903 
4. Zeile und 30.Spalte, Wert:38160.72049541072 
4. Zeile und 31.Spalte, Wert:38172.225411498905 
4. Zeile und 32.Spalte, Wert:38160.719921301614 
4. Zeile und 33.Spalte, Wert:38147.37221735758 
4. Zeile und 34.Spalte, Wert:38151.42712144876 
4. Zeile und 35.Spalte, Wert:38147.838404150825 
4. Zeile und 36.Spalte, Wert:38145.22197626465 
4. Zeile und 37.Spalte, Wert:38150.083037934455 
4. Zeile und 38.Spalte, Wert:38154.31259014877 
4. Zeile und 39.Spalte, Wert:38153.58922820878 
4. Zeile und 40.Spalte, Wert:38155.0886637536 
4. Zeile und 41.Spalte, Wert:38193.17625471717 
4. Zeile und 42.Spalte, Wert:38160.18604328811 
4. Zeile und 43.Spalte, Wert:38129.80343380369 
4. Zeile und 44.Spalte, Wert:38145.93011390963 
4. Zeile und 45.Spalte, Wert:38158.83477204863 
4. Zeile und 46.Spalte, Wert:38151.43858162101 
4. Zeile und 47.Spalte, Wert:38157.10461411044 
4. Zeile und 48.Spalte, Wert:38116.68551519907 
4. Zeile und 49.Spalte, Wert:38190.227466543874 
4. Zeile und 50.Spalte, Wert:38159.95857181029 
4. Zeile und 51.Spalte, Wert:38139.44437883029 
4. Zeile und 52.Spalte, Wert:38144.51602131265 
4. Zeile und 53.Spalte, Wert:38148.54082096152 
4. Zeile und 54.Spalte, Wert:38090.65979660321 
4. Zeile und 55.Spalte, Wert:38146.5504495858 
4. Zeile und 56.Spalte, Wert:38134.091605867055 
4. Zeile und 57.Spalte, Wert:38132.70301018925 
4. Zeile und 58.Spalte, Wert:38133.149603365084 
4. Zeile und 59.Spalte, Wert:38144.55580889554 
4. Zeile und 60.Spalte, Wert:37810.63287326733 
4. Zeile und 61.Spalte, Wert:38144.194242845755 
4. Zeile und 62.Spalte, Wert:38152.44814799456 
4. Zeile und 63.Spalte, Wert:38137.17111655778 
4. Zeile und 64.Spalte, Wert:37773.76719208334 
4. Zeile und 65.Spalte, Wert:38139.08234751564 
4. Zeile und 66.Spalte, Wert:36972.82244724921 
4. Zeile und 67.Spalte, Wert:38143.52849711375 
4. Zeile und 68.Spalte, Wert:38147.56844026464 
4. Zeile und 69.Spalte, Wert:38156.909733713685 
4. Zeile und 70.Spalte, Wert:37614.46204217514 
4. Zeile und 71.Spalte, Wert:38107.36651307991 
4. Zeile und 72.Spalte, Wert:38142.3969660248 
4. Zeile und 73.Spalte, Wert:37951.78969704481 
4. Zeile und 74.Spalte, Wert:38137.41397673478 
4. Zeile und 75.Spalte, Wert:38139.00207157695 
4. Zeile und 76.Spalte, Wert:38141.32565462194 
4. Zeile und 77.Spalte, Wert:38131.405990388586 
4. Zeile und 78.Spalte, Wert:37625.5743876369 
4. Zeile und 79.Spalte, Wert:38138.245884281125 
4. Zeile und 80.Spalte, Wert:38147.42450896992 
4. Zeile und 81.Spalte, Wert:38144.61721113086 
4. Zeile und 82.Spalte, Wert:38139.89714049703 
4. Zeile und 83.Spalte, Wert:38112.77115905603 
4. Zeile und 84.Spalte, Wert:37186.15902032608 
