4. Zeile und 6.Spalte, Wert:191060.3318620181
4. Zeile und 7.Spalte, Wert:191546.87217030025
4. Zeile und 8.Spalte, Wert:191851.97880290746
4. Zeile und 9.Spalte, Wert:191619.74277840563
4. Zeile und 10.Spalte, Wert:190904.75001262376
4. Zeile und 11.Spalte, Wert:191215.59189388403
4. Zeile und 12.Spalte, Wert:191126.86913134708
4. Zeile und 13.Spalte, Wert:191134.0032145532
4. Zeile und 14.Spalte, Wert:191650.36518435937
4. Zeile und 15.Spalte, Wert:191526.31701368588
4. Zeile und 16.Spalte, Wert:224465.09353185695
4. Zeile und 17.Spalte, Wert:191341.7325696183
4. Zeile und 18.Spalte, Wert:191728.19443147662
4. Zeile und 19.Spalte, Wert:191713.2291141864
4. Zeile und 20.Spalte, Wert:191340.92974543487
4. Zeile und 21.Spalte, Wert:191724.3170241728
4. Zeile und 22.Spalte, Wert:191418.80146491
4. Zeile und 23.Spalte, Wert:191783.6568983016
4. Zeile und 24.Spalte, Wert:191597.56694225673
4. Zeile und 25.Spalte, Wert:191710.82919486088
4. Zeile und 26.Spalte, Wert:190723.8349069829
4. Zeile und 27.Spalte, Wert:191112.35876828548
4. Zeile und 28.Spalte, Wert:191556.7259132033
4. Zeile und 29.Spalte, Wert:190860.55853383755
4. Zeile und 30.Spalte, Wert:191520.0916082537
4. Zeile und 31.Spalte, Wert:191097.8117597827
4. Zeile und 32.Spalte, Wert:191260.13415379234
4. Zeile und 33.Spalte, Wert:191778.39297771556
4. Zeile und 34.Spalte, Wert:190790.32197288357
4. Zeile und 35.Spalte, Wert:191853.65561957427
4. Zeile und 36.Spalte, Wert:191756.46157199156
4. Zeile und 37.Spalte, Wert:190900.99174468228
4. Zeile und 38.Spalte, Wert:191172.62778193058
4. Zeile und 39.Spalte, Wert:190886.19548999416
4. Zeile und 40.Spalte, Wert:190865.77040538014
4. Zeile und 41.Spalte, Wert:191835.36305820692
4. Zeile und 42.Spalte, Wert:191430.43281364493
4. Zeile und 43.Spalte, Wert:191639.30581759015
4. Zeile und 44.Spalte, Wert:191133.54659054388
4. Zeile und 45.Spalte, Wert:191667.34361951158
4. Zeile und 46.Spalte, Wert:191725.08855200154
4. Zeile und 47.Spalte, Wert:191226.80543116195
4. Zeile und 48.Spalte, Wert:191276.3461403372
4. Zeile und 49.Spalte, Wert:195715.36308640888
4. Zeile und 50.Spalte, Wert:191850.77110693886
4. Zeile und 51.Spalte, Wert:191191.02492177818
4. Zeile und 52.Spalte, Wert:191480.35612138946
4. Zeile und 53.Spalte, Wert:191867.99159155902
4. Zeile und 54.Spalte, Wert:190757.8495269414
4. Zeile und 55.Spalte, Wert:191782.61210210604
4. Zeile und 56.Spalte, Wert:191332.92656960493
4. Zeile und 57.Spalte, Wert:191236.0046267314
4. Zeile und 58.Spalte, Wert:191319.76607581158
4. Zeile und 59.Spalte, Wert:190540.54321818016
4. Zeile und 60.Spalte, Wert:191608.16287751557
4. Zeile und 61.Spalte, Wert:191044.0495370628
4. Zeile und 62.Spalte, Wert:190674.81132977956
4. Zeile und 63.Spalte, Wert:190988.41410333544
4. Zeile und 64.Spalte, Wert:191753.6042722747
4. Zeile und 65.Spalte, Wert:191125.79113589268
4. Zeile und 66.Spalte, Wert:191580.68164235898
4. Zeile und 67.Spalte, Wert:191061.8632794674
4. Zeile und 68.Spalte, Wert:191292.8087730133
4. Zeile und 69.Spalte, Wert:191009.68078110737
4. Zeile und 70.Spalte, Wert:191021.73709534772
4. Zeile und 71.Spalte, Wert:190738.5386936124
4. Zeile und 72.Spalte, Wert:191006.38522126494
4. Zeile und 73.Spalte, Wert:190892.64374955965
4. Zeile und 74.Spalte, Wert:191002.03786696345
4. Zeile und 75.Spalte, Wert:191228.63501016976
4. Zeile und 76.Spalte, Wert:191486.79194348757
4. Zeile und 77.Spalte, Wert:191461.0996161945
4. Zeile und 78.Spalte, Wert:190783.03204582288
4. Zeile und 79.Spalte, Wert:190869.29791825343
4. Zeile und 80.Spalte, Wert:191741.1259709067
4. Zeile und 81.Spalte, Wert:191463.68655946208
4. Zeile und 82.Spalte, Wert:191641.79439783783
4. Zeile und 83.Spalte, Wert:194276.62366021753
4. Zeile und 84.Spalte, Wert:191828.423157158
4. Zeile und 85.Spalte, Wert:191670.8138226951
4. Zeile und 86.Spalte, Wert:190777.96425421006
4. Zeile und 87.Spalte, Wert:191664.84401556055
4. Zeile und 88.Spalte, Wert:191796.6352864924
4. Zeile und 89.Spalte, Wert:190768.9021320901
4. Zeile und 90.Spalte, Wert:191362.17085395314
4. Zeile und 91.Spalte, Wert:190937.54597960121
4. Zeile und 92.Spalte, Wert:191261.70472853043
4. Zeile und 93.Spalte, Wert:191212.91020694678
4. Zeile und 94.Spalte, Wert:191689.65907815594
4. Zeile und 95.Spalte, Wert:191083.38931637275
4. Zeile und 96.Spalte, Wert:191847.26508268953
4. Zeile und 97.Spalte, Wert:190748.63470312784
4. Zeile und 98.Spalte, Wert:189785.13950698765
4. Zeile und 99.Spalte, Wert:191552.39770674056
4. Zeile und 100.Spalte, Wert:191233.86494879008
5. Zeile und 0.Spalte, Wert:189353.93616257235
5. Zeile und 1.Spalte, Wert:189468.78359941993
5. Zeile und 2.Spalte, Wert:189457.85214366077
5. Zeile und 3.Spalte, Wert:190129.75996016234
5. Zeile und 4.Spalte, Wert:190071.87607323902
5. Zeile und 5.Spalte, Wert:190285.4588208814
5. Zeile und 6.Spalte, Wert:189716.31441834828
5. Zeile und 7.Spalte, Wert:190014.2670320866
5. Zeile und 8.Spalte, Wert:189775.55549349554
5. Zeile und 9.Spalte, Wert:189864.9268484496
5. Zeile und 10.Spalte, Wert:189847.85241158225
